date,average_weekly_retailing,average_weekly_internet_retailing,Internet sales as a percentage of total retail sales (%)
Jan-11,5213.5,451.4,8.7
Feb-11,5232.3,411.1,7.9
Mar-11,5382.7,420.3,7.8
Apr-11,5723.8,414,7.2
May-11,5597.6,420.1,7.5
Jun-11,5638.8,431.5,7.7
Jul-11,5711.6,442.3,7.7
Aug-11,5558.8,433.5,7.8
Sep-11,5604,464,8.3
Oct-11,5892.9,506.4,8.6
Nov-11,6410.1,657.5,10.3
Dec-11,7656,718.6,9.4
Jan-12,5324,502.6,9.4
Feb-12,5366.3,491,9.1
Mar-12,5660.4,499.1,8.8
Apr-12,5704.1,505.1,8.9
May-12,5786.1,527.5,9.1
Jun-12,5845,496,8.5
Jul-12,5877.5,530.1,9
Aug-12,5727.8,473.3,8.3
Sep-12,5778.8,516.3,8.9
Oct-12,6000.5,562.5,9.4
Nov-12,6555.3,703.9,10.7
Dec-12,7793.9,846.2,10.9
Jan-13,5405.5,566.9,10.5
Feb-13,5565.1,554.2,10
Mar-13,5776.3,592.8,10.3
Apr-13,5720.4,575.2,10.1
May-13,5985.4,584,9.8
Jun-13,6064.4,585.8,9.7
Jul-13,6138.4,584,9.5
Aug-13,5911.2,576.2,9.7
Sep-13,6011.3,606.2,10.1
Oct-13,6209.1,662.6,10.7
Nov-13,6806.7,827,12.1
Dec-13,8165.4,960.4,11.8
Jan-14,5680.1,629.4,11.1
Feb-14,5789.4,620.2,10.7
Mar-14,5969.9,646.7,10.8
Apr-14,6238.4,661.5,10.6
May-14,6232.7,680.8,10.9
Jun-14,6317,673.4,10.7
Jul-14,6318.3,670.6,10.6
Aug-14,6141.8,655,10.7
Sep-14,6121.8,667.5,10.9
Oct-14,6474.8,742.2,11.5
Nov-14,7226.8,989.9,13.7
Dec-14,8318.2,1067.4,12.8
Jan-15,5861.5,750.9,12.8
Feb-15,5919.2,691,11.7
Mar-15,6219.3,727.7,11.7
Apr-15,6223.6,756.3,12.2
May-15,6369.6,744.6,11.7
Jun-15,6422.7,766.8,11.9
Jul-15,6442.4,758.9,11.8
Aug-15,6189,711.9,11.5
Sep-15,6323.2,763.7,12.1
Oct-15,6538.7,828.4,12.7
Nov-15,7331.9,1137.7,15.5
Dec-15,8224.8,1155.2,14.1
Jan-16,6005.2,854.8,14.3
Feb-16,6020.2,776.9,12.9
Mar-16,6230.8,809.9,13
Apr-16,6349.9,850.7,13.4
May-16,6537.3,876.3,13.5
Jun-16,6477.3,897,13.8
Jul-16,6669.4,900.4,13.5
Aug-16,6429.8,871.4,13.4
Sep-16,6485.1,955.1,14.7
Oct-16,6931.2,1057,15.1
Nov-16,7777.6,1425.4,
